"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"OTU111Chrysosporium",0,1.15470053837925,"Peripherals","OTU111Chrysosporium","Eukaryote","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Chrysosporium","Saprotroph","OTU111Chrysosporium","Non-Yeast","Saprotroph","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU171Aspergillus",0,NA,NA,"OTU171Aspergillus","Eukaryote","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Aspergillus","Saprotroph","OTU171Aspergillus","Non-Yeast","Saprotroph","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU19Sarocladium",0,-0.390746915436487,"Peripherals","OTU19Sarocladium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","_","Sarocladium","Plant pathogen","OTU19Sarocladium","Non-Yeast","Plant pathogen","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU9Meruliaceae",0,NA,NA,"OTU9Meruliaceae","Eukaryote","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","Gloeoporus","Saprotroph","OTU9Meruliaceae","Non-Yeast","Saprotroph","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU29Rhizopus",0,-1.03512152124753,"Peripherals","OTU29Rhizopus","Eukaryote","Fungi","Mucoromycota","Mucoromycotina","Mucorales","Rhizopodaceae","Rhizopus","Saprotroph","OTU29Rhizopus","Non-Yeast","Saprotroph","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU114Mortierella",0,-0.984682226899947,"Peripherals","OTU114Mortierella","Eukaryote","Fungi","Mucoromycota","Mortierellomycotina","Mortierellales","Mortierellaceae","Mortierella","Saprotroph","OTU114Mortierella","Non-Yeast","Saprotroph","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU100Albifimbria",0,-0.687714571168217,"Peripherals","OTU100Albifimbria","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotriaceae","Albifimbria","Saprotroph","OTU100Albifimbria","Non-Yeast","Saprotroph","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU105Aspergillus",0,-1.4142135623731,"Peripherals","OTU105Aspergillus","Eukaryote","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Aspergillus","Saprotroph","OTU105Aspergillus","Non-Yeast","Saprotroph","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU87Spizellomyces",0.64,-0.687714571168217,"Connector","OTU87Spizellomyces","Eukaryote","Fungi","Chytridiomycota","Chytridiomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces","Plant pathogen","OTU87Spizellomyces","Non-Yeast","Plant pathogen","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU107Waitea",0,NA,NA,"OTU107Waitea","Eukaryote","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Waitea","Plant pathogen","OTU107Waitea","Non-Yeast","Plant pathogen","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU78Triparticalcar",0.5,-0.984682226899947,"Peripherals","OTU78Triparticalcar","Eukaryote","Fungi","Chytridiomycota","Chytridiomycetes","Spizellomycetales","Spizellomycetaceae","Triparticalcar","Plant pathogen","OTU78Triparticalcar","Non-Yeast","Plant pathogen","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU184Fusarium",0,-1.03512152124753,"Peripherals","OTU184Fusarium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Plant pathogen","OTU184Fusarium","Non-Yeast","Plant pathogen","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU102Arthropsis",0,-1.03512152124753,"Peripherals","OTU102Arthropsis","Eukaryote","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Uncinocarpus","Saprotroph","OTU102Arthropsis","Non-Yeast","Saprotroph","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU169Hypocreales",0,-0.368450887919528,"Peripherals","OTU169Hypocreales","Eukaryote","Fungi","Ascomycota","_","_","_","Monocillium","Saprotroph","OTU169Hypocreales","Non-Yeast","Saprotroph","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU98Acrocalymma",0.72,NA,NA,"OTU98Acrocalymma","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Acrocalymma","Saprotroph","OTU98Acrocalymma","Non-Yeast","Saprotroph","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU163Chytridiomycota",0.32,-0.0678768210654117,"Peripherals","OTU163Chytridiomycota","Eukaryote","Fungi","Chytridiomycota","Chytridiomycetes","Rhizophydiales","Alphamycetaceae","Betamyces","Plant pathogen","OTU163Chytridiomycota","Non-Yeast","Plant pathogen","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU137Eurotiales",0,0,"Peripherals","OTU137Eurotiales","Eukaryote","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Aspergillus","Saprotroph","OTU137Eurotiales","Non-Yeast","Saprotroph","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
