"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"Bac1",0,-1.18321595661992,"Peripherals","Bac1","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","_","Bac1","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"Bac-Bac"
"Bac2",0,0.591607978309962,"Peripherals","Bac2","Prokaryote","Bacteria","Cyanobacteria","Chloroplast","Streptophyta","StreptophytaOR","StreptophytaOR","_","Bac2","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"Bac-Bac"
"Bac5",0,1.18321595661992,"Peripherals","Bac5","Prokaryote","Bacteria","_","_","_","_","_","_","Bac5","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"Bac-Bac"
"Bac8",0,0.447213595499958,"Peripherals","Bac8","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","Chitinophaga","_","Bac8","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"Bac-Bac"
"Bac9",0,-0.670820393249937,"Peripherals","Bac9","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptosporangiaceae","Nonomuraea","_","Bac9","Actinobacteria","Actinobacteria","Leaf","Control",8,18,"Bac-Bac"
"Bac10",0,-0.670820393249937,"Peripherals","Bac10","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","Chitinophaga","_","Bac10","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"Bac-Bac"
"Bac29",0,NA,NA,"Bac29","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Balneimonas","_","Bac29","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"Bac-Bac"
"Bac6",0,0.591607978309962,"Peripherals","Bac6","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","_","Bac6","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"Bac-Bac"
"Bac44",0,0.591607978309962,"Peripherals","Bac44","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Buchnera","_","Bac44","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"Bac-Bac"
"Bac16",0.0688775510204083,0.765309629293584,"Peripherals","Bac16","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","_","Bac16","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"Bac-Bac"
"Bac4",1.11022302462516e-16,1.53294952747323,"Peripherals","Bac4","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","_","Bac4","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"Bac-Bac"
"Bac47",0,-1.18321595661992,"Peripherals","Bac47","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Leclercia","_","Bac47","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"Bac-Bac"
"Bac53",0.0739644970414202,0.528171434301206,"Peripherals","Bac53","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","_","Bac53","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"Bac-Bac"
