"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"Bac602",0,NA,NA,"Bac602","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","BacteriovoracaceaeFA","_","Bac602","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"interBF"
"Bac247",0,NA,NA,"Bac247","Prokaryote","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","OpitutaceaeFA","_","Bac247","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"interBF"
"Bac346",0,-0.159363814577919,"Peripherals","Bac346","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella","_","Bac346","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"interBF"
"Bac7",0,1.30585725019802,"Peripherals","Bac7","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac7","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"interBF"
"Bac29",0.5,-0.870571500132014,"Peripherals","Bac29","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Balneimonas","_","Bac29","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"interBF"
"Bac97",0,0.217642875033003,"Peripherals","Bac97","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","_","Bac97","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"interBF"
"Bac178",0,-0.577350269189626,"Peripherals","Bac178","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Entotheonellales","Entotheonellaceae","EntotheonellaceaeFA","_","Bac178","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"interBF"
"Bac2862",0,-0.577350269189626,"Peripherals","Bac2862","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Sphingobacteriaceae","SphingobacteriaceaeFA","_","Bac2862","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"interBF"
"Bac1751",0,NA,NA,"Bac1751","Prokaryote","Bacteria","Chloroflexi","Anaerolineae","A4b","A4bOR","A4bOR","_","Bac1751","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"interBF"
"Bac434",0,-0.55048188256318,"Peripherals","Bac434","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","MyxococcalesOR","MyxococcalesOR","_","Bac434","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"interBF"
"Bac889",0,-0.55048188256318,"Peripherals","Bac889","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Thermoactinomyces","_","Bac889","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"interBF"
"Bac1107",0,0.27524094128159,"Peripherals","Bac1107","Prokaryote","Bacteria","_","_","_","_","_","_","Bac1107","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"interBF"
