"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"Bac11",0,1.14234330056276,"Peripherals","Bac11","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","SinobacteraceaeFA","_","Bac11","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"interBF"
"Bac14",0,0.444244616885518,"Peripherals","Bac14","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","Niastella","_","Bac14","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"interBF"
"Bac301",0.625,-0.253854066791725,"Connector","Bac301","Prokaryote","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","VerrucomicrobialesOR","VerrucomicrobialesOR","_","Bac301","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"interBF"
"Bac5",0,-1.01023774275964,"Peripherals","Bac5","Prokaryote","Bacteria","_","_","_","_","_","_","Bac5","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"interBF"
"Bac25",0,-0.312255302307524,"Peripherals","Bac25","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","Kribbella","_","Bac25","Actinobacteria","Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"interBF"
"Bac32",0,0.0367359179185324,"Peripherals","Bac32","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac32","Actinobacteria","Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"interBF"
"Bac45",0,0.0367359179185324,"Peripherals","Bac45","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Pseudonocardiaceae","PseudonocardiaceaeFA","_","Bac45","Actinobacteria","Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"interBF"
"Bac100",0,-0.312255302307524,"Peripherals","Bac100","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac100","Actinobacteria","Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"interBF"
"Bac111",0,0.0367359179185324,"Peripherals","Bac111","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Pseudonocardiaceae","Saccharopolyspora","_","Bac111","Actinobacteria","Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"interBF"
"Bac167",0,0.0367359179185324,"Peripherals","Bac167","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Thermomonosporaceae","Actinomadura","_","Bac167","Actinobacteria","Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"interBF"
"Bac648",0,0.0367359179185324,"Peripherals","Bac648","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","Actinopolymorpha","_","Bac648","Actinobacteria","Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"interBF"
"Bac710",0,-0.312255302307524,"Peripherals","Bac710","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","Actinopolymorpha","_","Bac710","Actinobacteria","Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"interBF"
"Bac497",0.40625,2.53854066791725,"Module hub","Bac497","Prokaryote","Bacteria","_","_","_","_","_","_","Bac497","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"interBF"
"Bac371",0,NA,NA,"Bac371","Prokaryote","Bacteria","Cyanobacteria","Chloroplast","Stramenopiles","StramenopilesOR","StramenopilesOR","_","Bac371","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"interBF"
"Bac394",0,NA,NA,"Bac394","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Shimazuella","_","Bac394","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"interBF"
"Bac55",0,-0.241522945769824,"Peripherals","Bac55","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac55","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"interBF"
"Bac56",0.666666666666667,0.724568837309472,"Connector","Bac56","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","_","Bac56","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"interBF"
