"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"OTU374Preussia",0,NA,NA,"OTU374Preussia","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Saprotroph","OTU374Preussia","Non-Yeast","Saprotroph","Soil","Control",2,9,"Fung-Fung"
"OTU270Fungi",0,NA,NA,"OTU270Fungi","Eukaryote","Fungi","unidentified","_","_","_","_","Unidentified & others","OTU270Fungi","Non-Yeast","Unidentified & others","Soil","Control",2,9,"Fung-Fung"
"OTU9Meruliaceae",0,NA,NA,"OTU9Meruliaceae","Eukaryote","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","Gloeoporus","Saprotroph","OTU9Meruliaceae","Non-Yeast","Saprotroph","Soil","Control",2,9,"Fung-Fung"
"OTU13Preussia",0,NA,NA,"OTU13Preussia","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Saprotroph","OTU13Preussia","Non-Yeast","Saprotroph","Soil","Control",2,9,"Fung-Fung"
"OTU170Fungi",0,-1.14564392373896,"Peripherals","OTU170Fungi","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Podospora","Endophyte","OTU170Fungi","Non-Yeast","Endophyte","Soil","Control",2,9,"Fung-Fung"
"OTU109Beauveria",0,-1.14564392373896,"Peripherals","OTU109Beauveria","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","_","Geosmithia","Saprotroph","OTU109Beauveria","Non-Yeast","Saprotroph","Soil","Control",2,9,"Fung-Fung"
"OTU92Chaetomium",0,NA,NA,"OTU92Chaetomium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Saprotroph","OTU92Chaetomium","Non-Yeast","Saprotroph","Soil","Control",2,9,"Fung-Fung"
"OTU85Pseudogymnoascus",0,0,"Peripherals","OTU85Pseudogymnoascus","Eukaryote","Fungi","Ascomycota","Leotiomycetes","_","Myxotrichaceae","Pseudogymnoascus","Unidentified & others","OTU85Pseudogymnoascus","Non-Yeast","Unidentified & others","Soil","Control",2,9,"Fung-Fung"
"OTU107Waitea",0,NA,NA,"OTU107Waitea","Eukaryote","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Waitea","Plant pathogen","OTU107Waitea","Non-Yeast","Plant pathogen","Soil","Control",2,9,"Fung-Fung"
"OTU171Aspergillus",0.444444444444444,-0.866025403784439,"Peripherals","OTU171Aspergillus","Eukaryote","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Aspergillus","Saprotroph","OTU171Aspergillus","Non-Yeast","Saprotroph","Soil","Control",2,9,"Fung-Fung"
"OTU167Thielavia",0.444444444444444,0.730296743340221,"Peripherals","OTU167Thielavia","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Thielavia","Saprotroph","OTU167Thielavia","Non-Yeast","Saprotroph","Soil","Control",2,9,"Fung-Fung"
"OTU624Cylindrocarpon",0,NA,NA,"OTU624Cylindrocarpon","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neonectria","Plant pathogen","OTU624Cylindrocarpon","Non-Yeast","Plant pathogen","Soil","Control",2,9,"Fung-Fung"
"OTU132Rhizophagus",0,-0.55048188256318,"Peripherals","OTU132Rhizophagus","Eukaryote","Fungi","Mucoromycota","Glomeromycotina","Glomerales","Glomeraceae","Rhizophagus","Arbuscular mycorrhizal","OTU132Rhizophagus","Non-Yeast","Arbuscular mycorrhizal","Soil","Control",2,9,"Fung-Fung"
